Symbol,Date,Open,High,Low,Close,Volume
AAME,17-Jun-2011,1.99,2.05,1.95,2.05,5700
AAON,17-Jun-2011,9.8,10.4178,9.4445,9.8133,209600
AAPL,17-Jun-2011,46.9986,47.0357,45.6229,45.7514,21981800
AAWW,17-Jun-2011,56.86,57.35,55.65,56.3,330400
AAXJ,17-Jun-2011,60.25,60.48,59.89,59.98,637100
ABAX,17-Jun-2011,28.17,28.36,27.48,27.5,194500
ABCB,17-Jun-2011,9.2,9.27,8.92,9.09,134400
ABCD,17-Jun-2011,3.19,3.25,3.15,3.18,61100
ABIO,17-Jun-2011,67.2,68.46,60.9,67.62,237900
ABMD,17-Jun-2011,16.35,16.5,16.17,16.44,248000
ACAD,17-Jun-2011,1.64,1.66,1.51,1.52,455400
ACET,17-Jun-2011,6.65,6.74,6.58,6.6,172000
ACFC,17-Jun-2011,6.89,6.98,6.77,6.98,6600
ACGL,17-Jun-2011,32.95,33.01,32.48,32.55,1076000
ACHN,17-Jun-2011,6.74,6.74,6.07,6.19,646500
ACIW,17-Jun-2011,9.8367,9.86,9.57,9.7033,375800
ACLS,17-Jun-2011,6.36,6.44,5.92,6.04,1621900
ACMR,17-Jun-2011,2.37,2.5,2.27,2.49,22400
ACNB,17-Jun-2011,15.3,15.3,15.3,15.3,500
ACOR,17-Jun-2011,31.4,31.43,30.24,30.52,941100
ACRX,17-Jun-2011,4.68,5,4.2,4.22,24400
ACTG,17-Jun-2011,33.41,33.62,31.93,32.21,291000
ACWI,17-Jun-2011,47.21,47.21,46.65,46.76,595000
ACWX,17-Jun-2011,43.89,43.94,43.63,43.75,84400
ACXM,17-Jun-2011,12,12.26,11.93,12.1,1054500
ADBE,17-Jun-2011,31.33,31.33,30.44,30.47,10549100
ADES,17-Jun-2011,7.845,8.29,7.835,7.98,27600
ADI,17-Jun-2011,37.18,37.26,36.43,36.58,3376400
ADP,17-Jun-2011,46.1194,46.2161,45.2942,45.3643,4326200
ADRA,17-Jun-2011,26.37,26.49,26,26.26,28600
ADRD,17-Jun-2011,21.51,21.63,21.4,21.44,13400
ADRE,17-Jun-2011,44.27,44.32,43.85,44.08,67800
ADRU,17-Jun-2011,21.28,21.42,21.2,21.29,179700
ADSK,17-Jun-2011,36.74,36.9,35.65,35.69,4274300
ADTN,17-Jun-2011,38.48,38.69,36.48,37.31,1913700
ADUS,17-Jun-2011,5.54,5.64,4.98,5.05,48000
AEHR,17-Jun-2011,1.15,1.25,1.15,1.25,13000
AEIS,17-Jun-2011,14.02,14.09,13.58,13.72,292600
AETI,17-Jun-2011,3.3,3.4,3.29,3.4,2200
AEY,17-Jun-2011,2.51,2.58,2.51,2.58,5700
AEZS,17-Jun-2011,1284,1308,1260,1278,1657200
AFAM,17-Jun-2011,28.73,29.06,27.25,27.77,144700
AFSI,17-Jun-2011,10.74,11.09,10.74,10.985,347600
AGEN,17-Jun-2011,0.82,0.82,0.78,0.78,233700
AGII,17-Jun-2011,30,30.69,30,30.16,196700
AGNC,17-Jun-2011,30.35,30.41,30.15,30.15,5843000
AGYS,17-Jun-2011,8.01,8.19,7.6,7.69,744100
AHGP,17-Jun-2011,45.31,45.74,44.48,45.38,94000
AHPI,17-Jun-2011,3.93,4.09,3.93,4.07,2900
AIMC,17-Jun-2011,22.92,23.43,22.57,23.02,157900
AINV,17-Jun-2011,10.04,10.11,9.92,9.98,2238400
AIRT,17-Jun-2011,9.12,9.12,9.02,9.11,10400
AKAM,17-Jun-2011,29.81,29.84,29.12,29.49,5464200
AKRX,17-Jun-2011,6.69,6.69,6.18,6.19,1977100
ALCO,17-Jun-2011,23.65,24.11,23.38,23.38,11300
ALGN,17-Jun-2011,23.48,23.97,22.83,22.92,1006100
ALGT,17-Jun-2011,43.91,44.3,43.85,43.93,185100
ALIM,17-Jun-2011,7.83,7.83,7.51,7.68,177400
ALKS,17-Jun-2011,16.76,16.87,16.48,16.61,1140400
ALLT,17-Jun-2011,15.53,15.55,14.72,15.08,109600
ALNY,17-Jun-2011,9.35,9.45,9,9.03,680400
ALOG,17-Jun-2011,50.48,50.89,50.1,50.62,138600
ALOT,17-Jun-2011,7.61,7.88,7.51,7.86,5000
ALRN,17-Jun-2011,2.15,2.43,2.15,2.2,8400
ALSK,17-Jun-2011,8.73,8.87,8.68,8.82,957400
ALTR,17-Jun-2011,43.42,43.42,42.51,42.78,6072500
ALXN,17-Jun-2011,45.82,45.99,44.5,44.61,1272800
AMAG,17-Jun-2011,15.69,15.86,15.2,15.47,247900
