Symbol,Date,Open,High,Low,Close,Volume
A,01-Dec-2011,26.6667,27.4535,26.5021,27.0529,3179100
AA,01-Dec-2011,29.79,29.94,29.1,29.43,21702900
AAN,01-Dec-2011,26.2,26.56,25.86,26,355500
AAP,01-Dec-2011,68.72,70.17,68.65,68.75,701200
AAT,01-Dec-2011,20.65,20.66,20.12,20.44,453900
AAV,01-Dec-2011,4.64,4.78,4.56,4.75,346200
AB,01-Dec-2011,13.34,13.39,13.12,13.26,330600
ABB,01-Dec-2011,18.78,19.01,18.63,18.68,2414000
ABC,01-Dec-2011,37.02,37.47,36.96,37.24,2250300
ABG,01-Dec-2011,19.48,20.02,19.35,19.78,400000
ABM,01-Dec-2011,21.68,21.89,21.31,21.37,698200
ABR,01-Dec-2011,3.42,3.5,3.37,3.45,46300
ABT,01-Dec-2011,54.19,54.79,54.19,54.52,7200300
ABX,01-Dec-2011,52.46,53,52.1,52.81,5495200
ACC,01-Dec-2011,39.5,39.5,38.84,39.04,543700
ACH,01-Dec-2011,12.25,12.46,12.17,12.4,409700
ACM,01-Dec-2011,21.29,21.79,21.27,21.47,587100
ACN,01-Dec-2011,57.71,58.8,57.32,57.97,2569900
ACP,01-Dec-2011,15.21,15.45,15.12,15.35,38600
ADC,01-Dec-2011,24.3,24.65,23.86,23.88,39500
ADM,01-Dec-2011,30.17,30.55,30.08,30.22,4526800
ADS,01-Dec-2011,102.09,104.47,101.87,103.33,907800
ADX,01-Dec-2011,9.66,9.71,9.61,9.7,213600
AEB,01-Dec-2011,16.55,16.6,15.84,16.02,49300
AED,01-Dec-2011,19.94,20,19.44,19.55,30700
AEE,01-Dec-2011,33.91,34.11,33.64,33.7,1878400
AEG,01-Dec-2011,4.25,4.32,4.21,4.26,865000
AEH,01-Dec-2011,19.63,19.92,19.35,19.42,23900
AEL,01-Dec-2011,11.06,11.09,10.84,10.84,740600
AEM,01-Dec-2011,44.82,45.3,44.1,44.35,1355100
AEO,01-Dec-2011,13.97,14.15,13.79,14.08,4102800
AEP,01-Dec-2011,39.5,39.79,39.42,39.62,3083100
AER,01-Dec-2011,10.73,10.9,10.5,10.53,362200
AES,01-Dec-2011,12.01,12.24,11.97,12.11,6622300
AET,01-Dec-2011,41.75,42.17,41.54,41.68,2898600
AFB,01-Dec-2011,14.41,14.49,14.34,14.34,42800
AFC,01-Dec-2011,23.1,23.4,22.81,23.25,5900
AFG,01-Dec-2011,35.8,35.93,35.45,35.49,394900
AFL,01-Dec-2011,43.35,43.48,42.67,43.04,2501200
AFT,01-Dec-2011,16.22,16.26,16.05,16.08,82800
AG,01-Dec-2011,16.45,16.98,16.3,16.73,852400
AGC,01-Dec-2011,6.23,6.28,6.22,6.23,157900
AGCO,01-Dec-2011,45.46,46.09,44.91,45.25,1227400
AGD,01-Dec-2011,11.26,11.36,11.1,11.16,102900
AGM,01-Dec-2011,16.84,16.84,16.24,16.64,79200
AGM.A,01-Dec-2011,11.34,11.34,11.34,11.34,0
AGN,01-Dec-2011,83.98,84.74,83.37,84.18,1405500
AGO,01-Dec-2011,10.76,11.68,10.69,10.99,10367100
AGO-B,01-Dec-2011,23.71,24.02,23.71,23.8,5200
AGO-E,01-Dec-2011,23.15,23.18,22.98,23.03,9000
AGO-F,01-Dec-2011,19.96,19.97,19.65,19.8,7800
AGRO,01-Dec-2011,8.53,8.79,8.43,8.71,149900
AGU,01-Dec-2011,69.99,71.47,69.99,70.48,884400
AHC,01-Dec-2011,4.11,4.14,4.03,4.03,43000
AHL,01-Dec-2011,26.4,26.47,26.04,26.09,383800
AHT,01-Dec-2011,7.9,7.94,7.76,7.8,370800
AHT-D,01-Dec-2011,22.56,22.78,22.56,22.78,6900
AI,01-Dec-2011,19.89,20.05,19.57,19.6,45200
AIG,01-Dec-2011,23.15,23.32,22.83,23,6062500
AIG.W,01-Dec-2011,6.2,6.25,5.95,6.08,247600
AIN,01-Dec-2011,24.09,24.92,24.09,24.4,141600
AIR,01-Dec-2011,18.14,18.48,17.96,17.99,226200
AIT,01-Dec-2011,34.55,34.92,34.28,34.3,233600
AIV,01-Dec-2011,21.61,21.88,21.42,21.75,2250500
AIZ,01-Dec-2011,38.98,39.31,38.62,39.05,724400
AJG,01-Dec-2011,30.81,31.35,30.71,31.18,811600
AKO.A,01-Dec-2011,21.66,21.66,21.08,21.22,700
AKO.B,01-Dec-2011,26.57,27.25,25.63,25.83,20900
AKP,01-Dec-2011,14.19,14.31,14.19,14.31,8600
AKR,01-Dec-2011,19.58,19.6,19.29,19.4,223600
AKS,01-Dec-2011,8.53,8.6,8.11,8.18,8901700
AL,01-Dec-2011,22.32,23.11,22.25,22.9,675000
ALB,01-Dec-2011,54.13,54.67,53.12,53.5,509100
ALE,01-Dec-2011,39.9,40.1,39.69,39.88,234900
ALEX,01-Dec-2011,37.85,38.54,37.5,38.06,275900
ALG,01-Dec-2011,28.67,28.67,27.16,27.46,38400
ALK,01-Dec-2011,17.2375,18,17.1925,17.545,1177500
ALL,01-Dec-2011,26.7,26.7,26.3,26.56,3385800
ALL-A,01-Dec-2011,18.96,19.1,18.87,18.95,137100
ALL-B,01-Dec-2011,17.25,17.73,17.25,17.4,47300
ALV,01-Dec-2011,53.36,53.93,52.3,52.57,523500
ALX,01-Dec-2011,395.67,395.67,383.03,383.03,6700
AM,01-Dec-2011,16.88,17.3,16.8,17.18,463100
AME,01-Dec-2011,28.4067,28.6467,28.18,28.24,475000
AMG,01-Dec-2011,94.06,94.36,92.76,93.02,414200
AMID,01-Dec-2011,18.85,19.37,18.82,19,29000
AMP,01-Dec-2011,45.57,45.82,44.97,45.48,1204900
AMRC,01-Dec-2011,11.7,11.78,11.16,11.19,86500
AMT,01-Dec-2011,58.78,59.42,58.38,58.6,2450500
AMX,01-Dec-2011,23.74,24.2,23.49,23.53,4528200
AN,01-Dec-2011,36.12,36.87,35.86,35.99,930900
ANF,01-Dec-2011,47.57,48.49,47.16,47.88,1461400
ANH,01-Dec-2011,6.28,6.33,6.23,6.25,1276400
ANH-A,01-Dec-2011,25.62,25.69,25.62,25.69,4500
ANH-B,01-Dec-2011,22.89,22.89,22.89,22.89,300
ANTM,01-Dec-2011,70.19,71.08,69.97,70.08,2063800
ANW,01-Dec-2011,4.49,4.66,4.45,4.53,219400
AOD,01-Dec-2011,9.04,9.1,8.96,9.02,1093600
AOI,01-Dec-2011,28.3,28.3,26.7,26.7,266700
AON,01-Dec-2011,45.76,46.04,45.58,45.87,1073800
